average error,precision,recal,i,j,epoch
0.033610091,0.535294118,0.320422535,15,5,80
0.03304689,0.570552147,0.654929577,15,5,90
0.032713152,0.541516245,0.528169014,15,10,10
0.034431733,0.566666667,0.538732394,15,10,20
0.03385179,0.575091575,0.552816901,15,10,30
0.033223441,0.57239819,0.89084507,15,10,40
0.032996121,0.573498965,0.975352113,15,10,50
0.032565318,0.576826196,0.806338028,15,10,60
0.032808347,0.511278195,0.23943662,15,10,70
0.033417211,0.508474576,0.316901408,15,10,80
0.03275185,0.578341014,0.883802817,15,10,90
0.035909782,0.555956679,0.542253521,15,15,10
0.037973996,0.571078431,0.820422535,15,15,20
0.036848639,0.571428571,0.042253521,15,15,30
0.032622128,0.574944072,0.904929577,15,15,40
0.033121122,0.573113208,0.855633803,15,15,50
0.035309601,0.579545455,0.897887324,15,15,60
0.037187113,0.576200418,0.971830986,15,15,70
0.03559665,0.571428571,0.985915493,15,15,80
0.03263901,0.582159624,0.873239437,15,15,90
0.034141282,0.57253886,0.778169014,15,20,10
0.0330247,0.573333333,0.757042254,15,20,20
0.034276361,0.483146067,0.151408451,15,20,30
0.033250951,0.581140351,0.933098592,15,20,40
0.035973753,0.574889868,0.919014085,15,20,50
0.034894409,0.587209302,0.355633803,15,20,60
0.035509476,0.488095238,0.144366197,15,20,70
0.032682746,0.564013841,0.573943662,15,20,80
0.033064111,0.569230769,0.651408451,15,20,90
0.038921634,0.442307692,0.080985915,15,25,10
0.034974906,0.559241706,0.415492958,15,25,20
0.033786133,0.560885609,0.535211268,15,25,30
0.032977497,0.573394495,0.88028169,15,25,40
0.033492585,0.588957055,0.338028169,15,25,50
0.034124158,0.5078125,0.228873239,15,25,60
0.034014567,0.570552147,0.982394366,15,25,70
0.035352878,0.544554455,0.193661972,15,25,80
0.035610215,0.554216867,0.161971831,15,25,90
0.033075089,0.570621469,0.711267606,15,30,10
0.034529451,0.47826087,0.154929577,15,30,20
0.033735393,0.579064588,0.915492958,15,30,30
0.040294055,0.573469388,0.98943662,15,30,40
0.033782838,0.575242718,0.834507042,15,30,50
0.036867651,0.572874494,0.996478873,15,30,60
0.035038273,0.576837416,0.911971831,15,30,70
0.034273374,0.55988024,0.658450704,15,30,80
0.033576014,0.569264069,0.926056338,15,30,90
0.032243375,0.544827586,0.556338028,15,35,10
0.034801588,0.463414634,0.133802817,15,35,20
0.032910672,0.585308057,0.86971831,15,35,30
0.035694903,0.48245614,0.193661972,15,35,40
0.038627372,0.538461538,0.147887324,15,35,50
0.038835386,0.566801619,0.985915493,15,35,60
0.035818261,0.563535912,0.35915493,15,35,70
0.037106768,0.574786325,0.947183099,15,35,80
0.035483953,0.448979592,0.077464789,15,35,90
0.033878232,0.565104167,0.764084507,15,40,10
0.038200476,0.569979716,0.98943662,15,40,20
0.034510883,0.567873303,0.883802817,15,40,30
0.035696077,0.496503497,0.25,15,40,40
0.04056219,0.568273092,0.996478873,15,40,50
0.036505755,0.423076923,0.077464789,15,40,60
0.039264088,0.570850202,0.992957746,15,40,70
0.037673528,0.569672131,0.978873239,15,40,80
0.03409208,0.571428571,0.929577465,15,40,90
0.037194671,0.567951318,0.985915493,15,45,10
0.033279881,0.573593074,0.933098592,15,45,20
0.035887159,0.6,0.031690141,15,45,30
0.032921245,0.53968254,0.478873239,15,45,40
0.035111704,0.461538462,0.169014085,15,45,50
0.034695064,0.442622951,0.095070423,15,45,60
0.034022564,0.572327044,0.961267606,15,45,70
0.037820519,0.5,0.052816901,15,45,80
0.035728044,0.619047619,0.045774648,15,45,90
0.033892709,0.525,0.221830986,15,50,10
0.03284281,0.575117371,0.862676056,15,50,20
0.037389066,0.5,0.165492958,15,50,30
0.036565359,0.575257732,0.982394366,15,50,40
0.032651604,0.56281407,0.788732394,15,50,50
0.034490373,0.447368421,0.11971831,15,50,60
0.036787012,0.51,0.179577465,15,50,70
0.03526081,0.575492341,0.926056338,15,50,80
0.035911558,0.575569358,0.978873239,15,50,90
0.034625937,0.574514039,0.936619718,15,55,10
